"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Martínez Richart A.I.; Jiménez M.N.; Fernández Ondoño E.; Navarro F.B.","Martínez Richart, A.I. (57216935754); Jiménez, M.N. (9738318400); Fernández Ondoño, E. (23396429900); Navarro, F.B. (12244200500)","57216935754; 9738318400; 23396429900; 12244200500","Plant diversity in traditional irrigation channels and its relations with soil properties; [Diversidad florística en sistemas tradicionales de acequias y relaciones con el suelo]","2019","Ecosistemas","28","3","","81","91","10","2","10.7818/ECOS.1733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085397743&doi=10.7818%2fECOS.1733&partnerID=40&md5=e45557b1c9fd1acb277c178c5983e40b","This study is proposed as a first characterization of edaphic properties and plant biodiversity of acequias systems as indicators of trophic richness and provision of ecosystem services. Soils, water, and vegetation were sampled from six different traditional irrigation channels in the province of Granada, Spain. In general, the soils presented moderate-high values of organic matter, sandy-loam textures, high cation exchange capacity and basic pH. There were local differences, given by the original substrates (concentrations of carbonates, clay and Mg+2, Na+ and K+) or by the species present (organic matter and nitrogen). The canonical correspondence analysis (CCA), indicated that the measured variables explained 39.2% of the sample variability, the most important variable being the concentration of carbonates, as for the rest, most of it is thought to be explained by the differences in management. Species abundance and richness seemed to benefit from competition-limiting factors, with the diversity index being inversely proportional to carbonates. Several species of agro-economic importance and wild crop relatives were inventoried that in addition to the generation of soil and carbon sequestration denote the key role of the acequias for the maintenance of the trophic nets and the durability of the agrarian systems. © 2019 Asociacion Espanola de Ecologia Terrestre. All rights reserved.","Acequia; Calcium carbonate; SE Spain; Species richness; Vegetation management","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85085397743"
"Nevárez V.L.; Féliz B.D.Z.","Nevárez, Virginia López (57214455743); Féliz, Bianca Denisse Zavala (57214456158)","57214455743; 57214456158","Social responsibility in the dimensions of corporate citizenship. A case study in agricultural manufacturing; [La responsabilidad social en las dimensiones de la ciudadanía corporativa. Un estudio de caso en la manufactura agrícola]","2019","CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa","","97","","179","211","32","8","10.7203/CIRIEC-E.97.12566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078738872&doi=10.7203%2fCIRIEC-E.97.12566&partnerID=40&md5=7cbf45f58cde20336fff1e67d44cd917","Food and Agriculture Organization of the United Nations (FAO), the United Nations Industrial Development Organization (UNIDO) and the International Fund for Agricultural Development (IFAD), together with other international organizations have committed themselves to the development of Corporate Social Responsibility, putting more attention to the social consequences of the activities generated by the companies in the agricultural sector, that go from the beginning of the crop until its transformation, looking for them to find solutions to global problems, from considering their actions to the interested parties in the business activities they develop, especially agricultural manufacturing, which is the industry that has revolutionized the work of the field worker when applying the principles of mechanical energy in the processes related to the planting and harvesting of food. Agricultural manufacturing must provide more than industrialization, that is, generate a value framework that protects the land while in its production process responds to interest groups. However, it is observed that the organizational dynamics of these companies have focused on the development of production, marketing and competitiveness strategies to dominate the markets. On the other hand, there has also been a cycle of accelerated changes and crises in the dominant economic models, creating new demands and requirements for companies, giving rise to concerns centered on ethical aspects. It is in this scenario where social responsibility emerges as a proposal of differentiated management to be voluntary and establish a company-society relationship beyond the legal, focusing on the company recognizing its double act of both, acceptance and negation, that is to say, accepts to promote the social good and refuses to do harm. Even though corporate social responsibility has had great importance since the 80s and 90s it is until the year 2000 that it becomes a global phenomenon being in constant transformation of conceptualization from the neoliberal economic perspective, generating a controversy in the roles of the private sector, government and nonprofit organizations. Corporate social responsibility refers to reconcile the economic interest of companies with social requirements, it has to do with the commitment that organizations must assume and not only with what they want to do, it is socially responsible to the extent that they incorporate human rights, transparency, corporate governance, ethics, environment, philanthropic activities, social investment and good acting with its stakeholders. Companies need a healthy society that in turn has companies in balance, so that the basis of corporate social responsibility is established on three axes: fair and balanced economy, promotion of ethical and social values and protection of the environment; likewise, it must take into account the interested parties in the business activities that are carried out, as the Nobel Prize for Economics Jean Tirole says: ""the company must provide protection to interested parties that do not control the decision process"". This social perspective basically aims to put ethics into action, starting from the understanding company's responsability with society to take voluntary measures that lead to an improvement in the quality of life of the actors involved. Situation that is accompanied by challenges that lead to a correlation of the academic field with business and social. Taking as a starting point the application of social responsibility for ethical performance and that is assumed voluntarily and not as an imposed action, it has been proposed to study how to advance in the social transformation in agricultural manufacturing, for which exposes an analysis of social responsibility in a case study, considering that this methodological premise has a high descriptive content that allows to show the complexities of the same and arrive at an approach of the explanations in terms of how the events happen and why. The notion taken up for this study of social responsibility is based on corporate citizenship, which indicates that the company must not only have responsibilities with stakeholders and shareholders but must act as a citizen who has obligations and rights. The Boston College proposal for corporate citizenship is used as an analysis model, which establishes that social responsibility is the way in which the company complies with its ethical and fundamental values through the minimization of damage and maximization of the benefit by responding to the parties interested and generating a solid financial result. Among the retaken constructs are the four theories of social responsibilities: corporate citizen theory (CCT), corporate social performance theory (CSD), shareholder value theory (TVA) and stakeholder theory (TAI). These theories have different approaches that go from the perspective that the company's social responsibility is only to achieve economic benefits and its commitment is only with the shareholders (TVA), up to retake the theory of corporate citizenship (TCC) in which considers that the organization has rights and obligations towards society, which is the most relevant in this investigation. The theories mentioned above are related to the dimensions proposed by Boston College: concept of corporate citizenship, strategic initiative, leadership, structure, social issues, relationship with stakeholders and transparency. The case study is conducted in Equipos Agricolas RA, which is a company with 40 years on the agricultural manufacturing sector and whose main activity is the design and manufacture of agricultural equipment for planting and harvesting potatoes. It was identified that the company is in a period of recognition of corporate social responsibility, is currently stable in the production of employment and economic benefits, it has more than 120 workers and its staff turnover is minimal. In relation to the model of corporate citizenship it is located in the initial stage, called elementary, in which the social recognition of its impacts on the environment comes to the generation of employment, payment of taxes and the sale of effective products for planting and potato harvest. This represents the challenge of the capacity for innovation to consolidate the social perspective of a sector that, as FAO has indicated, must contribute with sustainable forms of work that give better results, for which Equipos Agricolas RA requires a formalization of social responsibility to realize an agenda of the same, from a marginal social responsibility. © 2019 CIRIEC.","Agricultural manufacturing; Corporate citizenship; Social commitment; Social responsibility","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85078738872"
"Cabrejo S.T.; Silva E.M.S.","Cabrejo, Sabina Talero (58139456200); Silva, Erika Milena Salcedo (58139456300)","58139456200; 58139456300","Contributions for Designing Payments Schemes for Environmental Services in the Basin of Tota Lake, Colombia; [Aportes para el diseño de esquemas de pagos por servicios ambientales en la cuenca del lago de Tota, Colombia]","2020","Apuntes del Cenes","39","69","","267","298","31","2","10.19053/01203053.v39.n69.2020.10078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137280541&doi=10.19053%2f01203053.v39.n69.2020.10078&partnerID=40&md5=275c972dbb5f2dbbcdab948170e3be7d","This study aims to contribute to the assessment prior to the design of a payments scheme for environmental services by estimating the opportunity costs (OC) related to renounce to agricultural activities in order to conserve or restore the moorland area and wetland protection zone in the Tota lake basin, located in Boyacá, Colombia. Strategic areas and ecosystems of the basin were identified and a socio-economic analysis of production units of the area was carried out, identifying the most representative land uses. Subsequently, the authors estimated the production functions of the main currently crops to calculate net current value of the opportunity cost of the watershed property areas for 5 and 10 years contracts. Finally, it is concluded on the possibilities of implementation of schemes of the kind of environmental services payment in that basin, according to the reviewed literature and the analysis of results. © The Author(s) 2021.","agricultural economy; environmental conservation; environmental management; environmental services payments; governance; opportunity cost; water resources management","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137280541"
"Burbano Valencia E.J.; Zafra Sanz M.I.","Burbano Valencia, Enrique Javier (57192221520); Zafra Sanz, María Isabel (57192215898)","57192221520; 57192215898","Homicide and land prices: A spatial analysis in Santiago de Cali; [Homicidio y precios de la tierra: un análisis espacial en Santiago de Cali]","2017","Cuadernos de Economia","40","113","","147","159","12","4","10.1016/j.cesjef.2016.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001728344&doi=10.1016%2fj.cesjef.2016.06.001&partnerID=40&md5=3464313e61e1d4f64a85a08140930456","Since 2000, Cali has had the highest mean annual homicide rate among the major Colombian cities. The model of Mills (1972) is extended to include the homicide per commune (from 2005 to 2012) as a measure of social distance, and to quantify the effect of this phenomenon on land prices (mean appraisals). Using an annual panel, the estimates of the model – the family violence rate being the instrumental variable – show that an increase in the homicide rate of one unit reduces the appraisals by 1.6%. One plausible interpretation is that homicides operate as a regressive tax on property wealth in Cali because it is more concentrated in the communes of the lower socio-economic stratum, systematically expanding the intra-urban social distance. © 2016 Asociación Cuadernos de Economía","Crime; Land market; Social distance; Spatial analysis","","Article","Final","","Scopus","2-s2.0-85001728344"
"Rodríguez-González S.; Fernández-Rojas X.E.; Coelho-De-souza G.","Rodríguez-González, Shirley (57217032174); Fernández-Rojas, Xinia Elena (9240715200); Coelho-De-souza, Gabriela (6506775349)","57217032174; 9240715200; 6506775349","Multidimensionality of food and nutrition security in the rural space of Costa Rica; [Multiples dimensions de la sécurité alimentaire et nutritionnelle dans l’espace rural du Costa Rica]; [Multidimensionalidad de la seguridad alimentaria y nutricional en el espacio rural de Costa Rica]","2020","Agroalimentaria","26","51","","17","38","21","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108344584&partnerID=40&md5=425a01b405376a58c10c5193888aca61","This article focuses on the food and nutrition security (SAN) study of the farming families in the municipality of Coto Brus of the Brunca Region, using a multidimensional and multiscale approach to the SAN (Rodríguez, Fernández y Coelho-de-Souza, 2019). The main objective is to analyze how dimensions of SAN (political, ethical, sociocultural, environmental, economic and nutritional) are articulated and contribute to the food and nutritional condition of farming families. The data were collected in 34 families in 2015 using four techniques: semi-structured interview, structured interview, participant observation and farmers-guided walks along their properties. There were also 10 interviews with institutions and organizations representatives. The analysis was carried out based on the theoretical-methodological framework of the multidimensionality of SAN (Rodríguez et al, 2019). The quantitative information was analyzed using IBM SPSS® and MS-Excel® software. The qualitative information was organized and presented from the predefined categories. Main results show that among the visited families, 68% of them were in food insecurity. Important differences have been found in the practices of families according to their condition of SAN in economic and nutritional dimensions. Families with SAN have greater economic resources and a greater number of people with overweight or obesity. The intrinsic relationship of families with nature stands out, which guides more sustainable practices. Such results let conclude, based on this study, that the multidimensional and multiscale approach allowed a broader understanding of the SAN, by analyzing both the strategies related to the various pillars (availability, access, consumption and biological use) and the dimensions that are linked to them. In addition, the nutritional dimension is considered as an expression of the sustainability of the agri-food system, suggesting that it is necessary adopting such dimension as a guide for rural development actions. © 2020, Centro de Investigaciones Agroalimentarias (CIAAL). All rights reserved.","Agrobiodiversity; Family farming; Food and nutritional security; Multidimensional analysis; Self-consumption","","Article","Final","","Scopus","2-s2.0-85108344584"
"Giménez A.C.; Ibáñez M.G.","Giménez, August Corrons (57210341332); Ibáñez, Marta Gil (57196192025)","57210341332; 57196192025","Is blockchain technology compatible with the Social and Solidarity Economy? Towards a new paradigm; [¿Es la tecnología blockchain compatible con la Economía Social y Solidaria? Hacia un nuevo paradigma]","2019","CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa","","95","","191","215","24","9","10.7203/CIRIEC-E.95.12984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070369892&doi=10.7203%2fCIRIEC-E.95.12984&partnerID=40&md5=eb24e6afcf88db4df2883513350bef57","Spanish Law 5/2011, of 29 March, defines Social Economy as the set of economic and business activities that, in the private sphere, are carried out by entities that pursue the general economic or social interest, following the principles of the primacy of persons and the social purpose over capital, the promotion of internal solidarity and solidarity with society, and last, independence from public authorities. In other words, the Social and Solidarity Economy is a socio-economic area based on three main axes that determine its transforming character: democratic and participatory management, orientation towards human needs and commitment to the environment. In this way, it represents a new way of doing things, rather than a path towards a specific goal. In Spain, with the approval of the Social Economy Law in 2011, the sector has experienced a significant boost and growth in recent years. At the same time, new technologies are representing a disruptive change in our current society and are modifying the way we relate to each other. At this point, it is important to differentiate between the Internet of information and the Internet of value. The first is the tool that enables the free circulation of information throughout the planet and has led to the creation of new business models such as Google, Facebook or Amazon, among others. As for the Internet of value, based precisely on blockchain technology, it is the tool that makes possible to share and manage the value of assets or goods in a digital and decentralized way, without the need to depend on a trusted entity that centralizes the process. Blockchain technology, released in 2009 by Bitcoin, is a decentralized database that is distributed among a multitude of different participants. This distribution system establishes a system of group trust, since the information is distributed among different agents, it cannot be altered. Blockchain will revolution the future development of economies and societies, with a potential capable of transforming both industry and services, as well as social relations. In this case, the initiative has started in the financial sector mainly, although as it is evident, its application in the future will not have to be exclusive to that sector. The emergent development of blockchain technology and its possibilities to modify the forms of solidarity collaboration of citizens present a current challenge and a paradigm shift for the Third Sector. Today, society is changing the way to inform, to communicate and to relate. Faced with this reality, it is increasingly aware of its transforming role and driving agent of change. The significant evolution that information technologies have undergone in recent years has affected all sectors, including the Social and Solidarity Economy. For this reason, the aim of this article is to analyze the combination of the concept of Social and Solidarity Economy and blockchain, analyzing the possibilities of both areas sharing values, principles and objectives. The Social and Solidarity Economy framework developed by Chaves and Monzón (2018), as well as Corrons, Fuster and Espelt (2017), is mainly used for this purpose. In the first place, the concept of Social and Solidarity Economy and its current framework are analyzed, highlighting its three main vertebral axes. On the other hand, and based on the research led by Preukschat on blockchain, in addition to the definition of the concept, the levels at which it is stratified are identified: structure, properties, functional characteristics and usability. In order to complete the study, an analysis of the socioeconomic implications and barriers presented by this technology is presented. In short, the blockchain offers an opportunity to give authenticity to what is understood by collaborative with respect to the proposals that exist today. However, the main barriers that this technology presents are related to the implications of the current socioeconomic system. It provides freedom of action to individuals in the face of oligopolies, large corporations and States. The free exchange of crypto currencies implies no need for banks. The privacy of economic transactions implies the difficulty of taxation by States. And global and universal registration, without anyone being able to manipulate it, implies that all transactions are stored forever and, therefore, that there is no place for the right to forget or to a second chance. At present, there is a lack of research and studies that deal with this new technology, its possibilities and barriers to adapt to the consolidated concept of Social Economy. In this way, this analysis focused mainly on the study of existing literature, shows how blockchain technology has become the new paradigm in the Third Sector and how it can be the basic tool for changing the behavior of citizens in solidarity issues. In the near future, the disruptive technologies are called to cause a great impact in the traditional systems in benefit of the citizens, forcing to a vindication of the inefficient and obsolete current schemes. Here is where blockchain technology, configured in a way compatible with the principles of the Social Economy, can become a key tool that strengthens the Social Economy sector, that allows it to continue growing up and that manages to increase the impact of the aims of the entities that make it up. © 2019 CIRIEC-España, Revista de Economía Pública, Social y Cooperativa.","Blockchain; Governance; Social and solidarity economy; Technology; Values","","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85070369892"
"Zabalza A.","Zabalza, Antoni (24497896400)","24497896400","Un nuevo mecanismo de actualización para el sistema de financiación autonómica","2017","Hacienda Publica Espanola","223","4","","67","100","33","4","10.7866/HPE-RPE.17.3.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050299264&doi=10.7866%2fHPE-RPE.17.3.4&partnerID=40&md5=ea942d71daa2cd71257347322cb8072c","This article argues that the present mechanism to update the Spanish system of regional finance ignores practically altogether the temporal variation of needs, is very pro cyclical and does not keep over time the horizontal equity properties of the system; and proposes a new mechanism based on the temporal variation of needs and of Public Administration hourly salaries, which isolates from the economic cycle the time path of regional normative resources and keeps horizontal equity. © 2017, Instituto de Estudios Fiscales.","Change of needs; Horizontal equity; Measurement; Pro cyclical; Regional finance; Updating mechanism","","Article","Final","","Scopus","2-s2.0-85050299264"
"Correas-Gonzalez M.; Moreiras S.M.; Jomelli V.; Arnaud-Fassetta G.","Correas-Gonzalez, Mariana (57218926395); Moreiras, S.M. (8240633800); Jomelli, V. (55881361500); Arnaud-Fassetta, G. (56579260300)","57218926395; 8240633800; 55881361500; 56579260300","Ice-dammed lake outburst flood risk in the plomo basin, central andes (33º s): Perspectives from historical events; [Riesgo de crecida por rompimiento de diques de hielo en la cuenca del plomo, andes centrales (33º s): perspectivas a partir de eventos históricos]","2020","Geographical Research Letters","46","1","","223","249","26","5","10.18172/cig.4219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090816073&doi=10.18172%2fcig.4219&partnerID=40&md5=acfb83f4ae41b3deeb82844f61bc9b5c","High mountain regions are extremely sensitive to current climate change affecting natural processes and related hazards (i.e. glacier retreat, slope instability, formation and enlargement of proglacial lakes). Ice-Dammed Lake Outburst Floods (IDLOFs) are highlighted among these phenomena and reach a greater socio-economic impact due to their highly destructive power. Facing on forecasting of more frequency and intensity of dangerous events, risk analysis of communities exposed is required. The purpose of this research was to assess the hazard, vulnerability, and risk against IDLOF in the Plomo and Mendoza valleys in current scenarios. We analyze historical IDLOF events occurred in the Plomo River that was dammed at least three times by surges of the Grande del Nevado del Plomo glacier (GNP) generating six outburst floods in the 1788-2018 period. Almost one century after the most catastrophic event in 1934, many changes in land usage and occupation along the Mendoza valley have occurred, exposing new vulnerable elements to natural hazards in this area. Our findings show a greater risk mainly due to higher vulnerability as a consequence of higher habitat exposition associated with increasing tourist activity and land-use changes. This fact exposes an urgent necessity of land-use planning in Andean regions. © Universidad de La Rioja.","Central Andes; Ice-dam; Natural risks; Outburst floods; Risk mapping","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090816073"
"Calderon E.A.B.; Castorena E.V.G.; Chaparro V.M.O.; del Carmen Gutiérrez Castorena Ma.; Bontemps L.C.","Calderon, Eva Aurora Bautista (57217156565); Castorena, Edgar Vladimir Gutiérrez (56002767900); Chaparro, Víctor Manuel Ordaz (57194879575); del Carmen Gutiérrez Castorena, Ma. (57217156171); Bontemps, Lenom Cajuste (6701556367)","57217156565; 56002767900; 57194879575; 57217156171; 6701556367","Coffee agroforestry systems in Veracruz, Mexico: Spatial identification and quantification using GIS, remote sensing and local knowledge; [Sistemas agroforestales de café en Veracruz, México: Identificación y cuantificación espacial usando SIG, percepción remota y conocimiento local]","2018","Terra Latinoamericana","36","3","","261","273","12","5","10.28940/terra.v36i3.350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086516056&doi=10.28940%2fterra.v36i3.350&partnerID=40&md5=a487d595d23fddd268991211ba09541a","The mountainous region of Veracruz is a complex ecosystem due to its physiography and natural vegetation where agroforestry coffee production systems occur that are of high economic value for producers. These systems have multiple biotic and abiotic factors that hinder their zoning and classification, and therefore, the transfer of technology between producers and technicians is limited. The objective of the present investigation was to generate thematic maps of the distribution and aptitude of the land with productive potential for coffee cultivation in the agroforestry systems of the mountainous area of the municipality of Huatusco, Veracruz. For this, remote perception analysis (PR) techniques were used, with a parametric approach on Geographic Information Systems (GIS), interpretative land classification and local knowledge. Two agroforestry components are presented in the study area: mountain mesophilic forest (BMM) (27%) and paddock (Pot) (16%) and three subcomponents: traditional polyculture (Pt), commercial polyculture (Pc) (36%), specialized monoculture (Me) (3%) and urban areas (Zu) (2.9%), identified by their brilliance and texture in a satellite image; however, there is confusion between native and commercial vegetation. With the participation of the producers, these components were identified with an accuracy of 78.9% (Pc), 87.5% (Pt) and 100% (BMM, Pot, Me). The area of greatest aptitude for coffee production is located in the central zone (23%); while those of low quality are in the center and northeast (45.5%) of the municipality. BMMs occur in areas not suitable for coffee production. The combination of geospatial techniques with local knowledge of land aptitude allows identification of areas with agricultural potential for coffee production, providing elements for conservation of other environments such as the BMM. © 2018 Mexican Society of Soil Science. All rights reserved.","Analysis of satellite images; Interpretative classification; Mesophilic mountain forests; Spot 5","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85086516056"
"Delgado L.M.M.; Gallego J.I.R.; Martín J.M.S.","Delgado, Luz Mariá Martín (57205198206); Gallego, Juan Ignacio Rengifo (56423791400); Martín, José Manuel Sánchez (58859556300)","57205198206; 56423791400; 58859556300","The social hunting model: Evolution and characterization in extremadura; [El modelo de caza social: Evolución y caracterización en extremadura]","2019","Boletin de la Asociacion de Geografos Espanoles","82","","","1","37","36","7","10.21138/bage.2793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073019216&doi=10.21138%2fbage.2793&partnerID=40&md5=4adf195093d8f533cbcfd233bc541faf","The hunting activity in Spain is characterized by the coexistence of two models of different use, according to their purpose: Social and private/commercial. The private/commercial model has a greater weight than the social model, although each autonomous community has its own particular situation. In this sense, Extremadura is a singular case in which both models show a balance in superficial extension. Despite this, while the so-called commercial hunting has a bibliographic corpus of certain relevance, the opposite has happened with social hunting. For this reason, the main objective of this work is to generate knowledge about a hunting model that is very representative in Extremadura, the social model. Of special interest in this work is the carrying out of a survey in which more than 130 local societies of federated hunters have participated in the region. The analysis of the answers obtained has been carried out using statistical techniques that have allowed interesting results to be obtained. Among them it is worth mentioning the notable masculinization of these societies, the low hunting quality of the lands they manage and the difficulties they encounter to undertake certain measures, due to the lack of economic resources. © 2019 Asociacion de Geografos Espanoles. All rights reserved.","Extremadura; Hunting; Local hunting societies; Social hunting; Surveys","Extremadura; Spain; bibliography; numerical model; social media; survey method","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85073019216"
"Jumbo Ordóñez D.P.; Campuzano Vásquez J.A.; Vega Jaramillo F.Y.; Luna Romero A.E.","Jumbo Ordóñez, Diana Paola (57221978881); Campuzano Vásquez, John Alexander (57204688885); Vega Jaramillo, Flor Yelena (57200074319); Luna Romero, Ángel Eduardo (57217492270)","57221978881; 57204688885; 57200074319; 57217492270","Economic crisis and COVID-19 in Ecuador: Impact on exports; [Crisis económicas y COVID-19 en Ecuador: Impacto en las exportaciones]","2020","Universidad y Sociedad","12","6","","103","110","7","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100845920&partnerID=40&md5=edcdb541845e135d8b66de689ba5ffc8","Through the years Ecuador has gone through several economic crises that have affected political, social, environmental and cultural aspects. In this work, the exports of Ecuador in the period 1998-2020 are statistically analyzed, the objective is to determine what has been the impact on the level of exports with respect to the economic crises in that period. A documentary investigative work was carried out, reviewing the export figures published in official organizations such as the Central Bank of Ecuador. Graphs show the total amount of annual exports, emphasizing the export level during the looming crises after the El Niño phenomenon in 1998, the banking holiday in 1999, dollarization in 2000, the limited productivity of oil in 2002, the real estate crisis in 2008 and its repercussions on the price of crude oil in 2009, the earthquake in Manabí in 2016 and the Covid-19 pandemic. The investigation determined that 2015 was the year with the lowest amount in exports with an approximate decrease of -28%, caused mainly by the fall in oil prices at the international level, demonstrating how dependent the country’s economy is on this resource. © 2020, University of Cienfuegos, Carlos Rafael Rodriguez. All rights reserved.","Classical and neoclassical theories; Covid-19 pandemic; Dollarization; Economic growth; Time series","","Article","Final","","Scopus","2-s2.0-85100845920"
"Campa Navarro J.I.","Campa Navarro, Juan Ignacio (57201504892)","57201504892","Patents and technological development in Mexico: A comparative study between the era of protectionist industrialization and the regime of openness; [Patentes y desenvolvimiento tecnológico en méxico: Un estudio comparativo entre la época de industrialización proteccionista y el régimen de apertura]","2018","America Latina en la Historia Economica","25","3","","223","256","33","4","10.18232/alhe.789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053061651&doi=10.18232%2falhe.789&partnerID=40&md5=0711588ded31afc29c23bc7a57daac31","The present work characterizes and evaluates the behavior of patenting activity in Mexico during the industrial protectionist regime of 1940 to 1970 and the economic liberalization regime between 1995 and 2015. In order to carry out a contrasting analysis between periods patent data are grouped by technological sectors according to the International Patent Classification (IPC), which allows for consistent analyzes in a temporal or spatial manner. The comparison of the evolution and structures of patenting between periods suggests, in the aggregation area exposed, a continuity in the direction of the propensity to patent both resident and non-resident holders in the determined technological fields. This shows that the technological development of the country has maintained the same pattern during both economic regimes. © 2018 America Latina en la Historia Economica. All rights reserved.","Innovation; Intellectual property; Propensity to patent; Technological development","","Review","Final","","Scopus","2-s2.0-85053061651"
"Rangel E.J.","Rangel, Edgar J. (57203822189)","57203822189","A navarrese merchant owner of the east coast of yucatan’s forests: Faustino martinez (1889-1909); [Un comerciante navarro dueño de los bosques de la costa oriental de yucatán: Faustino martínez (1889-1909)]","2018","America Latina en la Historia Economica","25","3","","160","186","26","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053032053&partnerID=40&md5=9ce2761fd4828331c1363dec5b5b2760","Through the historic review of the Eastern Coast of Yucatan forests logging entrepreneurship, Faustino Martínez’s figure is reconstructed, business man who represents the Porfiriato’s Mexican economic oligarchy, his business profile allowed him undertake business and actions to take advantage over the forest concessions in the east of the Yucatan Peninsula. The access he has to the highest economic and political spheres, is the key to know the transcendence of this Spaniard entrepreneurship on the basis of his links and business in the region, which enable to obtain longest properties, greatest forest authorizations, to move labor force and to establish an extraction economy in order to built the Quintana Roo Federal Territory. © 2018 America Latina en la Historia Economica. All rights reserved.","Entrepreneurship; Extractive industries; Micro-business history; Porfiriato; Trade","","Review","Final","","Scopus","2-s2.0-85053032053"
